Title,ISSN,Type,SJR,Year
ICDC 2015 - Proceedings of the 3rd International Conference on Design Creativity,-,conference and proceedings,"0,106",2018
ICDEW 2006 - Proceedings of the 22nd International Conference on Data Engineering Workshops,-,conference and proceedings,"0,212",2009
"ICDLE 2010 - 2010 4th International Conference on Distance Learning and Education, Proceedings",-,conference and proceedings,"0,115",2013
ICDM Workshops 2009 - IEEE International Conference on Data Mining,-,conference and proceedings,"0,268",2012
ICDRET 2016 - 4th International Conference on the Developments in Renewable Energy Technology,-,conference and proceedings,"0,173",2019
ICDSC - 4th ACM/IEEE International Conference on Distributed Smart Cameras,-,conference and proceedings,"0,211",2013
"ICE-B 2006 - International Conference on e-Business, Proceedings",-,conference and proceedings,"0,103",2009
ICE-B 2007 - Proceedings of the 2nd International Conference on e-Business,-,conference and proceedings,"0,107",2010
ICE-B 2008 - Proceedings of the International Conference on e-Business,-,conference and proceedings,"0,118",2011
"ICE-B 2009 - International Conference on e-Business, Proceedings",-,conference and proceedings,"0,100",2012
ICE-B 2010 - Proceedings of the International Conference on e-Business,-,conference and proceedings,"0,124",2013
ICE-B 2011 - Proceedings of the International Conference on e-Business,-,conference and proceedings,"0,116",2014
"ICE-B 2013 - 10th International Conference on E-Business, Part of the ICETE 2013: 10th International Joint Conference on E-Business and Telecommunications, Proceedings",-,conference and proceedings,"0,101",2018
"ICE-B 2014 - Proceedings of the 11th International Conference on e-Business, Part of ICETE 2014 - 11th International Joint Conference on e-Business and Telecommunications",-,conference and proceedings,"0,162",2017
"ICE-B 2015 - 12th International Conference on e-Business, Proceedings; Part of 12th International Joint Conference on e-Business and Telecommunications, ICETE 2015",-,conference and proceedings,"0,142",2018
ICEAA 2003 - International Conference on Electromagnetics in Advanced Applications,-,conference and proceedings,"0,189",2006
ICEAA 2005 - 9th International Conference on Electromagnetics in Advanced Applications and EESC 2005 - 11th European Electromagnetic Structures Conference,-,conference and proceedings,"0,117",2008
"ICEAST 2018 - 4th International Conference on Engineering, Applied Sciences and Technology: Exploring Innovative Solutions for Smart Society",-,conference and proceedings,"0,120",2020
ICEC 2010 - Proceedings of the International Conference on Evolutionary Computation,-,conference and proceedings,"0,130",2013
ICEC 2016 - 28th International Conference on Electric Contacts,-,conference and proceedings,"0,143",2019
ICECE 2010 - 6th International Conference on Electrical and Computer Engineering,-,conference and proceedings,"0,136",2013
"ICECE 2018 - 2018 2nd International Conference on Energy Conservation and Efficiency, Proceedings",-,conference and proceedings,"0,155",2020
ICECOS 2017 - Proceeding of 2017 International Conference on Electrical Engineering and Computer Science: Sustaining the Cultural Heritage Toward the Smart Environment for Better Future,-,conference and proceedings,"0,145",2020
ICECT 2010 - Proceedings of the 2010 2nd International Conference on Electronic Computer Technology,-,conference and proceedings,"0,107",2013
ICECT 2011 - 2011 3rd International Conference on Electronics Computer Technology,-,conference and proceedings,"0,131",2014
"ICECTE 2016 - 2nd International Conference on Electrical, Computer and Telecommunication Engineering",-,conference and proceedings,"0,145",2020
ICECom 2013 - Conference Proceedings: 21st International Conference on Applied Electromagnetics and Communications,-,conference and proceedings,"0,116",2016
"ICECom 2016 - Conference Proceedings, 22nd International Conference on Applied Electromagnetics and Communications",-,conference and proceedings,"0,141",2020
ICED 11 - 18th International Conference on Engineering Design - Impacting Society Through Engineering Design,-,conference and proceedings,"0,213",2014
"ICEDSS 2016 - IEEE Conference on Emerging Devices and Smart Systems, Proceedings",-,conference and proceedings,"0,117",2019
ICEE 2009 - Proceeding 2009 3rd International Conference on Energy and Environment: Advancement Towards Global Sustainability,-,conference and proceedings,"0,133",2012
ICEE 2012 - 20th Iranian Conference on Electrical Engineering,-,conference and proceedings,"0,126",2015
ICEE 2015 - Proceedings of the 23rd Iranian Conference on Electrical Engineering,-,conference and proceedings,"0,108",2018
ICEE 2019 - 27th Iranian Conference on Electrical Engineering,-,conference and proceedings,"0,140",2020
"ICEEA 2010 - 2010 International Conference on Environmental Engineering and Applications, Proceedings",-,conference and proceedings,"0,114",2013
ICEED 2012 - 2012 4th International Congress on Engineering Education - Improving Engineering Education: Towards Sustainable Development,-,conference and proceedings,"0,102",2015
ICEED 2014 - 2014 IEEE 6th Conference on Engineering Education,-,conference and proceedings,"0,116",2018
ICEEE 2015 - 1st International Conference on Electrical and Electronic Engineering,-,conference and proceedings,"0,160",2019
ICEG 2006 - 2nd International Conference on e-Government,-,conference and proceedings,"0,106",2009
ICEG 2007 - 3rd International Conference on e-Government,-,conference and proceedings,"0,100",2010
"ICEIC 2019 - International Conference on Electronics, Information, and Communication",-,conference and proceedings,"0,164",2020
"ICEIE 2010 - 2010 International Conference on Electronics and Information Engineering, Proceedings",-,conference and proceedings,"0,131",2013
ICEIEC 2013 - Proceedings of 2013 IEEE 4th International Conference on Electronics Information and Emergency Communication,-,conference and proceedings,"0,103",2016
ICEIEC 2015 - Proceedings of 2015 IEEE 5th International Conference on Electronics Information and Emergency Communication,-,conference and proceedings,"0,126",2018
ICEIEC 2016 - Proceedings of 2016 IEEE 6th International Conference on Electronics Information and Emergency Communication,-,conference and proceedings,"0,142",2019
ICEIEC 2019 - Proceedings of 2019 IEEE 9th International Conference on Electronics Information and Emergency Communication,-,conference and proceedings,"0,138",2020
ICEIS 2001 - Proceedings of the 3rd International Conference on Enterprise Information Systems,-,conference and proceedings,"0,134",2006
ICEIS 2003 - Proceedings of the 5th International Conference on Enterprise Information Systems,-,conference and proceedings,"0,160",2006
ICEIS 2004 - Proceedings of the Sixth International Conference on Enterprise Information Systems,-,conference and proceedings,"0,147",2007
ICEIS 2005 - Proceedings of the 7th International Conference on Enterprise Information Systems,-,conference and proceedings,"0,150",2008
"ICEIS 2006 - 8th International Conference on Enterprise Information Systems, Proceedings",-,conference and proceedings,"0,123",2009
"ICEIS 2007 - 9th International Conference on Enterprise Information Systems, Proceedings",-,conference and proceedings,"0,134",2010
"ICEIS 2008 - 10th International Conference on Enterprise Information Systems, Proceedings",-,conference and proceedings,"0,124",2011
ICEIS 2008 - Proceedings of the 10th International Conference on Enterprise Information Systems,-,conference and proceedings,"0,137",2011
"ICEIS 2009 - 11th International Conference on Enterprise Information Systems, Proceedings",-,conference and proceedings,"0,142",2012
ICEIS 2010 - Proceedings of the 12th International Conference on Enterprise Information Systems,-,conference and proceedings,"0,139",2013
ICEIS 2011 - Proceedings of the 13th International Conference on Enterprise Information Systems,-,conference and proceedings,"0,110",2014
ICEIS 2012 - Proceedings of the 14th International Conference on Enterprise Information Systems,-,conference and proceedings,"0,126",2015
ICEIS 2014 - Proceedings of the 16th International Conference on Enterprise Information Systems,-,conference and proceedings,"0,129",2017
"ICEIS 2015 - 17th International Conference on Enterprise Information Systems, Proceedings",-,conference and proceedings,"0,147",2018
ICEIS 2016 - Proceedings of the 18th International Conference on Enterprise Information Systems,-,conference and proceedings,"0,146",2020
ICEIS 2018 - Proceedings of the 20th International Conference on Enterprise Information Systems,-,conference and proceedings,"0,151",2020
ICEIS 2019 - Proceedings of the 21st International Conference on Enterprise Information Systems,-,conference and proceedings,"0,162",2020
"ICEIT 2010 - 2010 International Conference on Educational and Information Technology, Proceedings",-,conference and proceedings,"0,109",2013
ICEMI 2009 - Proceedings of 9th International Conference on Electronic Measurement and Instruments,-,conference and proceedings,"0,117",2012
ICEMMS 2011 - Proceedings: 2011 2nd IEEE International Conference on Emergency Management and Management Sciences,-,conference and proceedings,"0,103",2014
ICEMPE 2017 - 1st International Conference on Electrical Materials and Power Equipment,-,conference and proceedings,"0,165",2020
"ICEMPE 2019 - 2nd International Conference on Electrical Materials and Power Equipment, Proceedings",-,conference and proceedings,"0,127",2020
ICEMS 2001 - Proceedings of the 5th International Conference on Electrical Machines and Systems,-,conference and proceedings,"0,125",2019
ICEMS 2005: Proceedings of the Eighth International Conference on Electrical Machines and Systems,-,conference and proceedings,"0,169",2008
ICEMS 2012 - Proceedings: 15th International Conference on Electrical Machines and Systems,-,conference and proceedings,"0,166",2015
ICEMS 2018 - 2018 21st International Conference on Electrical Machines and Systems,-,conference and proceedings,"0,175",2020
"ICEMSI 2013 - 2013 International Conference on Engineering, Management Science and Innovation",-,conference and proceedings,"0,102",2016
"ICEMT 2010 - 2010 International Conference on Education and Management Technology, Proceedings",-,conference and proceedings,"0,108",2013
ICENCO 2018 - 14th International Computer Engineering Conference: Secure Smart Societies,-,conference and proceedings,"0,124",2020
ICENCO'2010 - 2010 International Computer Engineering Conference: Expanding Information Society Frontiers,-,conference and proceedings,"0,127",2014
ICENCO'2011 - 2011 7th International Computer Engineering Conference: Today Information Society What's Next?,-,conference and proceedings,"0,198",2015
ICENT 2010 - 2010 International Conference on Educational and Network Technology,-,conference and proceedings,"0,104",2013
"ICEOE 2011 - 2011 International Conference on Electronics and Optoelectronics, Proceedings",-,conference and proceedings,"0,114",2014
ICEP-IAAC 2015 - 2015 International Conference on Electronic Packaging and iMAPS All Asia Conference,-,conference and proceedings,"0,153",2018
"ICEPT 2003 - 5th International Conference on Electronic Packaging Technology, Proceedings",-,conference and proceedings,"0,137",2006
ICEPT-HDP 2011 Proceedings - 2011 International Conference on Electronic Packaging Technology and High Density Packaging,-,conference and proceedings,"0,140",2014
ICEPT-HDP 2012 Proceedings - 2012 13th International Conference on Electronic Packaging Technology and High Density Packaging,-,conference and proceedings,"0,139",2015
ICER 2006 - Proceedings of the 2nd International Computing Education Research Workshop,-,conference and proceedings,"0,157",2009
ICER 2013 - Proceedings of the 2013 ACM Conference on International Computing Education Research,-,conference and proceedings,"0,178",2016
ICER 2014 - Proceedings of the 10th Annual International Conference on International Computing Education Research,-,conference and proceedings,"0,232",2017
ICER 2015 - Proceedings of the 2015 ACM Conference on International Computing Education Research,-,conference and proceedings,"0,257",2018
ICER 2016 - Proceedings of the 2016 ACM Conference on International Computing Education Research,-,conference and proceedings,"0,499",2019
ICER 2017 - Proceedings of the 2017 ACM Conference on International Computing Education Research,-,conference and proceedings,"0,317",2020
ICER 2018 - Proceedings of the 2018 ACM Conference on International Computing Education Research,-,conference and proceedings,"0,399",2020
ICER 2019 - Proceedings of the 2019 ACM Conference on International Computing Education Research,-,conference and proceedings,"0,244",2020
ICER'08 - Proceedings of the ACM Workshop on International Computing Education Research,-,conference and proceedings,"0,316",2011
ICER'09 - Proceedings of the 2009 ACM Workshop on International Computing Education Research,-,conference and proceedings,"0,191",2012
ICER'10 - Proceedings of the International Computing Education Research Workshop,-,conference and proceedings,"0,382",2013
ICER'11 - Proceedings of the ACM SIGCSE 2011 International Computing Education Research Workshop,-,conference and proceedings,"0,168",2014
ICER'12 - Proceedings of the 9th Annual International Conference on International Computing Education Research,-,conference and proceedings,"0,312",2015
ICES Journal of Marine Science,"10959289, 10543139",journal,"1,058",2024
ICESS 2005 - Second International Conference on Embedded Software and Systems,-,conference and proceedings,"0,130",2008
ICET 2013 - 2013 IEEE 9th International Conference on Emerging Technologies,-,conference and proceedings,"0,123",2016
ICET 2014 - 2nd International Conference on Engineering and Technology,-,conference and proceedings,"0,123",2018
ICET 2016 - 2016 International Conference on Emerging Technologies,-,conference and proceedings,"0,130",2020
"ICETA 2011 - 9th IEEE International Conference on Emerging eLearning Technologies and Applications, Proceedings",-,conference and proceedings,"0,118",2014
"ICETA 2012 - 10th IEEE International Conference on Emerging eLearning Technologies and Applications, Proceedings",-,conference and proceedings,"0,131",2015
"ICETA 2013 - 11th IEEE International Conference on Emerging eLearning Technologies and Applications, Proceedings",-,conference and proceedings,"0,115",2016
"ICETA 2014 - 12th IEEE International Conference on Emerging eLearning Technologies and Applications, Proceedings",-,conference and proceedings,"0,102",2018
"ICETA 2015 - 13th IEEE International Conference on Emerging eLearning Technologies and Applications, Proceedings",-,conference and proceedings,"0,118",2019
"ICETA 2016 - 14th IEEE International Conference on Emerging eLearning Technologies and Applications, Proceedings",-,conference and proceedings,"0,137",2019
"ICETA 2017 - 15th IEEE International Conference on Emerging eLearning Technologies and Applications, Proceedings",-,conference and proceedings,"0,153",2020
"ICETA 2018 - 16th IEEE International Conference on Emerging eLearning Technologies and Applications, Proceedings",-,conference and proceedings,"0,121",2020
ICETC 2010 - 2010 2nd International Conference on Education Technology and Computer,-,conference and proceedings,"0,120",2013
ICETE 2009 - International Joint Conference on e-Business and Telecommunications,-,conference and proceedings,"0,105",2012
"ICETE 2013 - 10th Int. Joint Conf. on E-Business and Telecommunications; 4th Int. Conf. DCNET 2013, - 10th Int. Conf. on ICE-B 2013 and OPTICS 2013 - 4th Int. Conf. on Optical Communication Systems",-,conference and proceedings,"0,101",2016
"ICETE 2013 - 10th International Joint Conference on E-Business and Telecommunications; SECRYPT 2013 - 10th International Conference on Security and Cryptography, Proceedings",-,conference and proceedings,"0,195",2016
ICETE 2016 - Proceedings of the 13th International Joint Conference on e-Business and Telecommunications,-,conference and proceedings,"0,201",2020
ICETE 2018 - Proceedings of the 15th International Joint Conference on e-Business and Telecommunications,-,conference and proceedings,"0,165",2020
ICETE 2019 - Proceedings of the 16th International Joint Conference on e-Business and Telecommunications,-,conference and proceedings,"0,145",2020
ICETECH 2015 - 2015 IEEE International Conference on Engineering and Technology,-,conference and proceedings,"0,143",2018
ICF 2017 - 14th International Conference on Fracture,-,conference and proceedings,"0,102",2020
"ICFA Mini-Workshop on Beam-Beam Effects in Hadron Colliders, BB 2013 - Proceedings",-,conference and proceedings,"0,108",2017
ICFC 2010 ICNC 2010 - Proceedings of the International Conference on Fuzzy Computation and International Conference on Neural Computation,-,conference and proceedings,"0,116",2013
ICFC 2018 - 7th International Conference on Fatigue of Composites,-,conference and proceedings,"0,125",2020
ICFEM 2000 - 3rd IEEE International Conference on Formal Engineering Methods,-,conference and proceedings,"0,210",2003
ICFPT 2007 - International Conference on Field Programmable Technology,-,conference and proceedings,"0,193",2010
ICGA Journal (discontinued),13896911,journal,"0,101",2019
ICGI 2019 - Proceedings of the International Conference on Graphics and Interaction,-,conference and proceedings,"0,132",2020
"ICHIM05 - International Cultural Heritage Informatics Meeting, Proceedings",-,conference and proceedings,"0,110",2008
"ICHIM07 - International Cultural Heritage Informatics Meeting, Proceedings",-,conference and proceedings,"0,121",2010
ICHQP 2008: 13th International Conference on Harmonics and Quality of Power,-,conference and proceedings,"0,170",2011
ICHQP 2010 - 14th International Conference on Harmonics and Quality of Power,-,conference and proceedings,"0,208",2013
ICHVE 2012 - 2012 International Conference on High Voltage Engineering and Application,-,conference and proceedings,"0,155",2015
ICHVE 2014 - 2014 International Conference on High Voltage Engineering and Application,-,conference and proceedings,"0,127",2017
ICHVE 2016 - 2016 IEEE International Conference on High Voltage Engineering and Application,-,conference and proceedings,"0,164",2019
ICHVE 2018 - 2018 IEEE International Conference on High Voltage Engineering and Application,-,conference and proceedings,"0,125",2020
ICIA 2005 - Proceedings of 2005 International Conference on Information Acquisition,-,conference and proceedings,"0,116",2008
ICIAFS 2012 - Proceedings: 2012 IEEE 6th International Conference on Information and Automation for Sustainability,-,conference and proceedings,"0,117",2015
"ICIAS 2012 - 2012 4th International Conference on Intelligent and Advanced Systems: A Conference of World Engineering, Science and Technology Congress (ESTCON) - Conference Proceedings",-,conference and proceedings,"0,147",2015
"ICIASF Record, International Congress on Instrumentation in Aerospace Simulation Facilities",07302010,conference and proceedings,"0,123",2010
ICIC 2010 - 3rd International Conference on Information and Computing,-,conference and proceedings,"0,115",2013
ICIC Express Letters,1881803X,journal,"0,183",2024
"ICIC Express Letters, Part B: Applications",21852766,journal,"0,161",2024
ICICDT 2012 - IEEE International Conference on Integrated Circuit Design and Technology,-,conference and proceedings,"0,252",2015
"ICICDT 2013 - International Conference on IC Design and Technology, Proceedings",-,conference and proceedings,"0,184",2016
ICICDT 2014 - IEEE International Conference on Integrated Circuit Design and Technology,-,conference and proceedings,"0,144",2017
"ICICDT 2018 - International Conference on IC Design and Technology, Proceedings",-,conference and proceedings,"0,123",2020
ICICIP 2012 - 2012 3rd International Conference on Intelligent Control and Information Processing,-,conference and proceedings,"0,121",2015
"ICICS 2009 - Conference Proceedings of the 7th International Conference on Information, Communications and Signal Processing",-,conference and proceedings,"0,143",2012
"ICICS 2011 - 8th International Conference on Information, Communications and Signal Processing",-,conference and proceedings,"0,140",2014
"ICICS 2013 - Conference Guide of the 9th International Conference on Information, Communications and Signal Processing",-,conference and proceedings,"0,122",2016
"ICICS-PCM 2003 - Proceedings of the 2003 Joint Conference of the 4th International Conference on Information, Communications and Signal Processing and 4th Pacific-Rim Conference on Multimedia",-,conference and proceedings,"0,146",2006
ICICT 2007: Proceedings of International Conference on Information and Communication Technology,-,conference and proceedings,"0,109",2010
ICICT 2011 - Proceedings of the 4th International Conference on Information and Communication Technologies,-,conference and proceedings,"0,117",2014
ICICT 2013 - Proceedings of the 2013 5th International Conference on Information and Communication Technologies: Using Technology to Create a Better World,-,conference and proceedings,"0,105",2016
ICICTM 2016 - Proceedings of the 1st International Conference on Information and Communication Technology,-,conference and proceedings,"0,157",2020
ICIEA 2007: 2007 Second IEEE Conference on Industrial Electronics and Applications,-,conference and proceedings,"0,151",2010
ICIECA 2005: International Conference on Industrial Electronics and Control Applications 2005,-,conference and proceedings,"0,116",2008
"ICIEECT 2017 - International Conference on Innovations in Electrical Engineering and Computational Technologies 2017, Proceedings",-,conference and proceedings,"0,132",2020
ICIIBMS 2015 - International Conference on Intelligent Informatics and Biomedical Sciences,-,conference and proceedings,"0,141",2019
"ICIIECS 2015 - 2015 IEEE International Conference on Innovations in Information, Embedded and Communication Systems",-,conference and proceedings,"0,133",2018
ICIIP 2011 - Proceedings: 2011 International Conference on Image Information Processing,-,conference and proceedings,"0,156",2014
"ICIIS 2007 - 2nd International Conference on Industrial and Information Systems 2007, Conference Proceedings",-,conference and proceedings,"0,112",2010
"ICIIS 2009 - 4th International Conference on Industrial and Information Systems 2009, Conference Proceedings",-,conference and proceedings,"0,133",2012
ICIM 2009 - 2009 International Conference on Innovation Management,-,conference and proceedings,"0,104",2012
ICIMA 2010 - 2010 2nd International Conference on Industrial Mechatronics and Automation,-,conference and proceedings,"0,117",2013
ICIME 2010 - 2010 2nd IEEE International Conference on Information Management and Engineering,-,conference and proceedings,"0,116",2013
"ICIMSA 2016 - 2016 3rd International Conference on Industrial Engineering, Management Science and Applications",-,conference and proceedings,"0,157",2019
"ICIMTR 2012 - 2012 International Conference on Innovation, Management and Technology Research",-,conference and proceedings,"0,127",2015
"ICINA 2010 - 2010 International Conference on Information, Networking and Automation, Proceedings",-,conference and proceedings,"0,119",2013
"ICINCO 2006 - 3rd International Conference on Informatics in Control, Automation and Robotics, Proceedings",-,conference and proceedings,"0,113",2009
"ICINCO 2007 - 4th International Conference on Informatics in Control, Automation and Robotics, Proceedings",-,conference and proceedings,"0,115",2010
"ICINCO 2008 - 5th International Conference on Informatics in Control, Automation and Robotics, Proceedings",-,conference and proceedings,"0,131",2011
"ICINCO 2008 - Proceedings of the 5th International Conference on Informatics in Control, Automation and Robotics",-,conference and proceedings,"0,123",2011
"ICINCO 2009 - 6th International Conference on Informatics in Control, Automation and Robotics, Proceedings",-,conference and proceedings,"0,113",2012
"ICINCO 2012 - Proceedings of the 9th International Conference on Informatics in Control, Automation and Robotics",-,conference and proceedings,"0,134",2015
"ICINCO 2014 - Proceedings of the 11th International Conference on Informatics in Control, Automation and Robotics",-,conference and proceedings,"0,139",2017
"ICINCO 2015 - 12th International Conference on Informatics in Control, Automation and Robotics, Proceedings",-,conference and proceedings,"0,146",2018
"ICINCO 2016 - 13th International Conference on Informatics in Control, Automation and Robotics, Doctoral Consortium",-,conference and proceedings,"0,179",2019
"ICINCO 2016 - Proceedings of the 13th International Conference on Informatics in Control, Automation and Robotics",-,conference and proceedings,"0,126",2019
"ICINCO 2017 - Proceedings of the 14th International Conference on Informatics in Control, Automation and Robotics",-,conference and proceedings,"0,156",2020
"ICINCO 2018 - Proceedings of the 15th International Conference on Informatics in Control, Automation and Robotics",-,conference and proceedings,"0,139",2020
"ICINCO 2019 - Proceedings of the 16th International Conference on Informatics in Control, Automation and Robotics",-,conference and proceedings,"0,121",2020
ICINIS 2009 - Proceedings of the 2nd International Conference on Intelligent Networks and Intelligent Systems,-,conference and proceedings,"0,119",2012
ICIQ 2011 - Proceedings of the 16th International Conference on Information Quality,-,conference and proceedings,"0,147",2014
ICIS '06: International Congress of Imaging Science - Final Program and Proceedings,-,conference and proceedings,"0,128",2009
ICIS 2006 Proceedings - Twenty Seventh International Conference on Information Systems,-,conference and proceedings,"0,256",2009
ICIS 2007 Proceedings - Twenty Eighth International Conference on Information Systems,-,conference and proceedings,"0,230",2010
ICIS 2008 Proceedings - Twenty Ninth International Conference on Information Systems,-,conference and proceedings,"0,450",2011
ICIS 2009 Proceedings - Thirtieth International Conference on Information Systems,-,conference and proceedings,"0,301",2012
ICIS 2010 Proceedings - Thirty First International Conference on Information Systems,-,conference and proceedings,"0,276",2013
ICIS 2017: Transforming Society with Digital Innovation,-,conference and proceedings,"0,146",2020
ICIS Chemical Business,17501504,trade journal,"0,101",2010
ICISA 2014 - 2014 5th International Conference on Information Science and Applications,-,conference and proceedings,"0,128",2017
"ICISO 2010 - Proceedings of the 12th International Conference on Informatics and Semiotics in Organisations, IFIP WG8.1 Working Conference",-,conference and proceedings,"0,103",2013
"ICISO 2013 - Proceedings of the 14th International Conference on Informatics and Semiotics in Organisations, IFIP WG8.1 Working Conference",-,conference and proceedings,"0,111",2016
ICISS 2016 - 2016 International Conference on Information Science and Security,-,conference and proceedings,"0,257",2020
"ICISSP 2015 - 1st International Conference on Information Systems Security and Privacy, Proceedings",-,conference and proceedings,"0,159",2018
"ICISSP 2016 - 2nd International Conference on Information Systems Security and Privacy, Doctoral Consortium",-,conference and proceedings,"0,108",2019
ICISSP 2016 - Proceedings of the 2nd International Conference on Information Systems Security and Privacy,-,conference and proceedings,"0,212",2019
ICISSP 2019 - Proceedings of the 5th International Conference on Information Systems Security and Privacy,-,conference and proceedings,"0,199",2020
ICIST 2014 - Proceedings of 2014 4th IEEE International Conference on Information Science and Technology,-,conference and proceedings,"0,142",2017
"ICIT 2017 - 8th International Conference on Information Technology, Proceedings",-,conference and proceedings,"0,207",2020
"ICITACEE 2015 - 2nd International Conference on Information Technology, Computer, and Electrical Engineering: Green Technology Strengthening in Information Technology, Electrical and Computer Engineering Implementation, Proceedings",-,conference and proceedings,"0,121",2019
ICIW 2007: 2nd International Conference on i-Warfare and Security,-,conference and proceedings,"0,127",2010
ICL Journal,"23063734, 19955855",journal,"0,204",2024
"ICL-GNSS 2018 - 2018 8th International Conference on Localization and GNSS: Seamless Indoor-Outdoor Localization, Proceedings",-,conference and proceedings,"0,229",2020
"ICLEM 2010: Logistics for Sustained Economic Development - Infrastructure, Information, Integration - Proceedings of the 2010 International Conference of Logistics Engineering and Management",-,conference and proceedings,"0,103",2013
ICLEM 2012: Logistics for Sustained Economic Development - Technology and Management for Efficiency - Proceedings of the 2012 International Conference of Logistics Engineering and Management,-,conference and proceedings,"0,102",2015
"ICLEM 2014: System Planning, Supply Chain Management, and Safety - Proceedings of the 2014 International Conference of Logistics Engineering and Management",-,conference and proceedings,"0,102",2017
"ICLS 2006 - International Conference of the Learning Sciences, Proceedings",-,conference and proceedings,"0,265",2009
ICMA 2004 - Proceedings of the International Conference on Manufacturing Automation: Advanced Design and Manufacturing in Global Competition,-,conference and proceedings,"0,106",2007
ICMB and GMR 2010 - 2010 9th International Conference on Mobile Business/2010 9th Global Mobility Roundtable,-,conference and proceedings,"0,152",2013
ICMC 2012: Non-Cochlear Sound - Proceedings of the International Computer Music Conference 2012,-,conference and proceedings,"0,119",2015
"ICMC 2016 - 42nd International Computer Music Conference, Proceedings",-,conference and proceedings,"0,121",2019
ICMC 2018 - Proceedings of the 2018 International Computer Music Conference,-,conference and proceedings,"0,102",2020
"ICMEE 2010 - 2010 2nd International Conference on Mechanical and Electronics Engineering, Proceedings",-,conference and proceedings,"0,116",2013
"ICMET 2010 - 2010 International Conference on Mechanical and Electrical Technology, Proceedings",-,conference and proceedings,"0,123",2013
ICMET'09 - Proceedings of the 2009 International Conference on Mechanical and Electrical Technology,-,conference and proceedings,"0,104",2012
ICMHPC - 2010 International Conference on Mine Hazards Prevention and Control,-,conference and proceedings,"0,129",2013
ICMI 2013 - Proceedings of the 2013 ACM International Conference on Multimodal Interaction,-,conference and proceedings,"0,731",2016
ICMI 2014 - Proceedings of the 2014 International Conference on Multimodal Interaction,-,conference and proceedings,"0,330",2017
ICMI 2015 - Proceedings of the 2015 ACM International Conference on Multimodal Interaction,-,conference and proceedings,"0,622",2018
ICMI 2016 - Proceedings of the 18th ACM International Conference on Multimodal Interaction,-,conference and proceedings,"0,637",2019
ICMI 2018 - Proceedings of the 2018 International Conference on Multimodal Interaction,-,conference and proceedings,"0,382",2020
ICMI 2019 - Proceedings of the 2019 International Conference on Multimodal Interaction,-,conference and proceedings,"0,129",2020
ICMI'03: Fifth International Conference on Multimodal Interfaces,-,conference and proceedings,"0,395",2006
ICMI'04 - Sixth International Conference on Multimodal Interfaces,-,conference and proceedings,"0,370",2007
"ICMI'06: 8th International Conference on Multimodal Interfaces, Conference Proceeding",-,conference and proceedings,"0,439",2009
"ICMI'07: Workshop on Tagging, Mining and Retrieval of Human-Related Activity Information, TMR'07 - Workshop Proceedings",-,conference and proceedings,"0,148",2010
ICMI'08: Proceedings of the 10th International Conference on Multimodal Interfaces,-,conference and proceedings,"0,272",2011
ICMI'11 - Proceedings of the 2011 ACM International Conference on Multimodal Interaction,-,conference and proceedings,"0,439",2014
ICMI'12 - Proceedings of the ACM International Conference on Multimodal Interaction,-,conference and proceedings,"0,409",2015
ICMI-MLMI'09 - Proceedings of the International Conference on Multimodal Interfaces and the Workshop on Machine Learning for Multimodal Interfaces,-,conference and proceedings,"0,277",2012
ICMIPE 2013 - Proceedings of 2013 IEEE International Conference on Medical Imaging Physics and Engineering,-,conference and proceedings,"0,115",2016
ICMIT 2006 Proceedings - 2006 IEEE International Conference on Management of Innovation and Technology,-,conference and proceedings,"0,128",2009
ICMIT 2014 - 2014 IEEE International Conference on Management of Innovation and Technology,-,conference and proceedings,"0,114",2017
ICML 2005 - Proceedings of the 22nd International Conference on Machine Learning,-,conference and proceedings,"1,199",2008
ICML 2006 - Proceedings of the 23rd International Conference on Machine Learning,-,conference and proceedings,"1,200",2009
"ICML 2010 - Proceedings, 27th International Conference on Machine Learning",-,conference and proceedings,"1,665",2013
ICMLC 2010 - The 2nd International Conference on Machine Learning and Computing,-,conference and proceedings,"0,216",2013
ICMMT 2000 - 2000 2nd International Conference on Microwave and Millimeter Wave Technology,-,conference and proceedings,"0,156",2003
ICMMT 2002 - 2002 3rd International Conference on Microwave and Millimeter Wave Technology,-,conference and proceedings,"0,168",2005
ICMR 2013 - Proceedings of the 3rd ACM International Conference on Multimedia Retrieval,-,conference and proceedings,"0,700",2016
ICMR 2014 - Proceedings of the ACM International Conference on Multimedia Retrieval 2014,-,conference and proceedings,"0,433",2017
ICMR 2015 - Proceedings of the 2015 ACM International Conference on Multimedia Retrieval,-,conference and proceedings,"0,595",2018
ICMR 2016 - Proceedings of the 2016 ACM International Conference on Multimedia Retrieval,-,conference and proceedings,"0,885",2019
ICMR 2017 - Proceedings of the 2017 ACM International Conference on Multimedia Retrieval,-,conference and proceedings,"0,406",2020
ICMR 2018 - Proceedings of the 2018 ACM International Conference on Multimedia Retrieval,-,conference and proceedings,"0,382",2020
ICMR 2019 - Proceedings of the 2019 ACM International Conference on Multimedia Retrieval,-,conference and proceedings,"0,328",2020
ICMREE 2013 - Proceedings: 2013 International Conference on Materials for Renewable Energy and Environment,-,conference and proceedings,"0,124",2016
ICMREE2011 - Proceedings 2011 International Conference on Materials for Renewable Energy and Environment,-,conference and proceedings,"0,107",2016
